# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.7520455012379348,4.974424214183664,0.05424405798607619,0,3.0,0.14955236975417724,180.0,0.0,0.07911980457476697
 0.08981343792189596,1.7641451762624178,4.974435669402099,0.05424405798607619,0.2694403137656879,3.0,0.14955236975417724,-179.99289397834346,2.7710739989772537,0.5651185601324231
 0.1275346248555878,1.7764430694031388,4.974469748164634,0.1587722583085902,0.38260387456676354,3.0000000000000027,0.1397714878257338,-179.971577035497,3.389015472224602,1.2127470890249938
 0.15682721039584763,1.788937482761006,4.974526020132116,0.2580452839259934,0.470481631187543,3.0,0.13070750348747018,-179.93605253765304,3.774842661526975,1.9905269575234674
 0.18180875758038556,1.8016267184369275,4.974604054965391,0.35234669398913626,0.5454262727411568,3.000000000000002,0.12229526901203219,-179.88632609454157,4.025316118255159,2.871902214029114
 0.2040659694328269,1.8145090785318112,4.9747034223253035,0.44193900760618815,0.6121979082984809,3.0,0.11447658047744048,-179.82240555854443,4.184673599990953,3.8394819308160626
 0.224408436592864,1.8275828651465658,4.974823691872701,0.5270655928894783,0.6732253097785922,3.0000000000000013,0.10719932986608452,-179.74430102345525,4.27833094589864,4.88075065851223
 0.24331458587725624,1.840846380382099,4.974964433268428,0.607952356440673,0.729943757631769,3.0000000000000044,0.10041677465070341,-179.65202482288552,4.322686972137759,5.986161428767435
 0.26109447635214517,1.8542979263393187,4.975125216173331,0.6848092573625116,0.7832834290564357,2.999999999999994,0.09408690423645215,-179.54559152831703,4.329094939935384,7.148141063074615
 0.2779622998117483,1.8679358051191337,4.975305610248257,0.757831666549203,0.8338868994352451,3.0,0.08817189133150115,-179.42501794680075,4.305792640489048,8.36051097858329
 0.29407313667839247,1.8817583188224518,4.97550518515405,0.8272015893617191,0.8822194100351776,3.0,0.08263761410785765,-179.290323118303,4.258958791571882,9.61812243549177
 0.30954339156466254,1.895763769550181,4.975723510551558,0.8930887674174568,0.9286301746939878,3.0,0.07745323982215192,-179.1415283126986,4.193342151039749,10.91661301476445
 0.32446297203033014,1.9099504594032295,4.975960156101625,0.95565167305997,0.9733889160909907,3.0000000000000036,0.07259086068747365,-178.97865702641226,4.112660574229131,12.252236533512718
 0.33890295180220525,1.9243166904825058,4.976214691465097,1.015038408560427,1.016708855406616,2.999999999999996,0.06802517580500274,-178.8017349787081,4.019866793705046,13.621739923100337
 0.35292060829524957,1.9388607648889173,4.976486686302822,1.0713875204223797,1.0587618248857489,3.0,0.06373321081438153,-178.6107901076285,3.917332424137561,15.022271478170138
 0.36656285556420065,1.9535809847233727,4.976775710275643,1.124828737987144,1.0996885666926022,3.000000000000004,0.05969407265437247,-178.405852565582,3.8069794063320046,16.4513108254337
 0.3798686555288676,1.96847565208678,4.977081333044408,1.1754836444374042,1.1396059665866032,3.0000000000000084,0.055888731963255174,-178.1869547145822,3.690376336913189,17.90661438720023
 0.392870755669653,1.9835430690800475,4.977403124269962,1.2234662871271342,1.1786122670089594,3.0,0.05229983267236655,-177.9541311211374,3.5688106172111196,19.38617218220972
 0.4055969693866584,1.998781537804083,4.977740653613152,1.268883733757281,1.2167909081599755,2.9999999999999956,0.04891152179187531,-177.70741855079194,3.4433434418392976,20.88817310387401
 0.4180711377677597,2.014189360359795,4.978093490734822,1.3118365796447453,1.2542134133032796,3.0000000000000133,0.045709300352672906,-177.44685596232063,3.314852385187643,22.410976657506755
 0.4303138643984137,2.029764838848091,4.97846120529582,1.3524194112175687,1.2909415931952415,3.0,0.04267988957344807,-177.1724845015768,3.1840647940367557,23.95308969993813
 0.4423430852710306,2.04550627536988,4.9788433669569905,1.3907212298977605,1.3270292558130923,3.0,0.03981111259345813,-176.88434749499464,3.0515842897112,25.51314710936114
 0.45417451676605675,2.0614119720260695,4.97923954537918,1.4268258403727765,1.3625235502981707,3.000000000000005,0.03709178919665733,-176.5824904427477,2.917911996706047,27.089895582827857
 0.46582201205518176,2.0774802309175677,4.979649310223235,1.4608122066084914,1.3974660361655458,3.0,0.03451164105409043,-176.26696101156384,2.7834636983520937,28.682179950782835
 0.4772978477458705,2.093709354145283,4.9800722311499985,1.492754778661777,1.4318935432376119,2.999999999999995,0.03206120855568907,-175.9378090271979,2.6485838177810073,30.28893153798858
 0.4886129567058618,2.1100976438101235,4.980507877820321,1.5227237931496387,1.465838870117586,3.0000000000000098,0.029731775152205955,-175.59508646656383,2.51355686071323,31.909158203412918
 0.49977711888043047,2.126643402012997,4.980955819895045,1.550785549577641,1.499331356641292,3.000000000000005,0.027515298475909535,-175.23884744952696,2.3786168782240544,33.54193576893402
 0.5107991189735672,2.143344930854812,4.981415627035016,1.5770026650309632,1.5323973569207023,3.000000000000005,0.025404352482661124,-174.86914823035778,2.2439552945538064,35.18640060553996
 0.5216868777359334,2.1602005324364764,4.981886868901084,1.6014343089515992,1.565060633207801,3.0000000000000204,0.023392070475600074,-174.4860471888487,2.10972743050699,36.841743190735755
 0.5324475620418082,2.177208508858899,4.982369115154091,1.6241364198027295,1.5973426861254254,2.99999999999999,0.02147209707122022,-174.08960482109507,1.9760579780420342,38.50720248593831
 0.5430876777786516,2.1943671622229863,4.982861935454884,1.6451619053918096,1.6292630333359557,3.0,0.01963854473205295,-173.67988372994262,1.8430455765444969,40.182061010301396
