# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.85,5.0,180.0,0,1.0,0,0.0,0.0,0.0
 0.15431558314052543,2.8380933504,5.0,180.0,0.15431558314052543,1.0,0,0.0,0.0,0.0
 0.21738259727954273,2.8263724032,5.0,180.0,0.21738259727954273,1.0,0,0.0,0.0,0.0
 0.26519554747393503,2.8148356608,5.0,180.0,0.26519554747393503,1.0,0,0.0,0.0,0.0
 0.30501925971977484,2.8034816256000004,5.0,180.0,0.30501925971977484,1.0,0,0.0,0.0,0.0
 0.33967984926986716,2.7923088000000003,5.0,180.0,0.33967984926986716,1.0,0,0.0,0.0,0.0
 0.3706327389748508,2.7813156864,5.0,180.0,0.3706327389748508,1.0,0,0.0,0.0,0.0
 0.3987460665636717,2.7705007872,5.0,180.0,0.3987460665636717,1.0,0,0.0,0.0,0.0
 0.42458778880226816,2.7598626048000003,5.0,180.0,0.42458778880226816,1.0,0,0.0,0.0,0.0
 0.4485540288527132,2.7493996415999997,5.0,180.0,0.4485540288527132,1.0,0,0.0,0.0,0.0
 0.4709343903347899,2.7391104,5.0,180.0,0.4709343903347899,1.0,0,0.0,0.0,0.0
 0.49194840705098325,2.7289933824,5.0,180.0,0.49194840705098325,1.0,0,0.0,0.0,0.0
 0.5117673471412568,2.7190470912,5.0,180.0,0.5117673471412568,1.0,0,0.0,0.0,0.0
 0.5305279845587786,2.7092700288000002,5.0,180.0,0.5305279845587786,1.0,0,0.0,0.0,0.0
 0.5483416861775144,2.6996606976,5.0,180.0,0.5483416861775144,1.0,0,0.0,0.0,0.0
 0.5653006279847911,2.6902176000000004,5.0,180.0,0.5653006279847911,1.0,0,0.0,0.0,0.0
 0.5814821778868203,2.6809392384,5.0,180.0,0.5814821778868203,1.0,0,0.0,0.0,0.0
 0.5969520664173972,2.6718241151999997,5.0,180.0,0.5969520664173972,1.0,0,0.0,0.0,0.0
 0.6117667320147442,2.6628707328,5.0,180.0,0.6117667320147443,1.0000000000000075,0,0.0,0.0,0.0
 0.6259750896002167,2.6540775936000003,5.0,180.0,0.6259750896002169,1.0,0,0.0,0.0,0.0
 0.639619887120468,2.6454432,5.0,180.0,0.6396198871204681,1.0,0,0.0,0.0,0.0
 0.6527387618335535,2.6369660543999998,5.0,180.0,0.6527387618335536,1.0,0,0.0,0.0,0.0
 0.6653650739255857,2.6286446592,5.0,180.0,0.6653650739255859,1.0,0,0.0,0.0,0.0
 0.677528572386434,2.6204775168000003,5.0,180.0,0.6775285723864342,1.0,0,0.0,0.0,0.0
 0.6892559327274593,2.6124631296,5.0,180.0,0.6892559327274594,1.0,0,0.0,0.0,0.0
 0.7005711955254791,2.6046000000000005,5.0,180.0,0.7005711955254792,1.0,0,0.0,0.0,0.0
 0.711496127326073,2.5968866304000002,5.0,180.0,0.7114961273260731,1.0,0,0.0,0.0,0.0
 0.7220505201161478,2.5893215232,5.0,180.0,0.722050520116148,1.0000000000000104,0,0.0,0.0,0.0
 0.7322524417166528,2.5819031808,5.0,180.0,0.7322524417166532,1.0000000000000109,0,0.0,0.0,0.0
 0.7421184466107821,2.5746301056,5.0,180.0,0.7421184466107824,1.0,0,0.0,0.0,0.0
 0.7516637546137236,2.5675008,5.0,180.0,0.7516637546137239,1.0,0,0.0,0.0,0.0
 0.7609024032029335,2.5605137664,5.0,180.0,0.7609024032029338,1.0,0,0.0,0.0,0.0
 0.7698473781211439,2.5536675072,5.0,180.0,0.7698473781211443,1.0000000000000124,0,0.0,0.0,0.0
 0.7785107259376715,2.5469605248,5.0,180.0,0.7785107259376719,1.0,0,0.0,0.0,0.0
 0.7869036515355611,2.5403913216,5.0,180.0,0.7869036515355615,1.0,0,0.0,0.0,0.0
 0.7950366029309588,2.5339584000000004,5.0,180.0,0.7950366029309592,1.0,0,0.0,0.0,0.0
 0.8029193453890621,2.5276602624,5.0,180.0,0.8029193453890625,1.0,0,0.0,0.0,0.0
 0.8105610264501987,2.5214954112,5.0,180.0,0.8105610264501991,1.0,0,0.0,0.0,0.0
 0.8179702331992285,2.5154623488,5.0,180.0,0.8179702331992289,1.0,0,0.0,0.0,0.0
 0.8251550428858807,2.5095595776,5.0,180.0,0.8251550428858812,1.0,0,0.0,0.0,0.0
 0.8321230678211005,2.5037856,5.0,180.0,0.8321230678211009,1.0,0,0.0,0.0,0.0
 0.8388814953257699,2.4981389184,5.0,180.0,0.8388814953257704,1.0,0,0.0,0.0,0.0
 0.8454371233864761,2.4926180352,5.0,180.0,0.8454371233864766,1.0,0,0.0,0.0,0.0
 0.8517963925727788,2.4872214528,5.0,180.0,0.8517963925727793,1.0,0,0.0,0.0,0.0
 0.8579654146875615,2.4819476736,5.0,180.0,0.8579654146875619,1.0,0,0.0,0.0,0.0
 0.8639499985531566,2.4767952,5.0,180.0,0.863949998553157,1.0,0,0.0,0.0,0.0
 0.8697556732784208,2.4717625344000003,5.0,180.0,0.8697556732784213,1.0,0,0.0,0.0,0.0
 0.8753877093037113,2.4668481792000003,5.0,180.0,0.8753877093037118,1.0,0,0.0,0.0,0.0
 0.8808511374801073,2.4620506368000004,5.0,180.0,0.8808511374801078,1.0,0,0.0,0.0,0.0
 0.8861507664049046,2.4573684096,5.0,180.0,0.8861507664049051,1.0,0,0.0,0.0,0.0
